account_number,account_name,account_type,parent_account
1001,صندوق نقدي رئيسي,Asset,
1002,صندوق فرعي مكتب,Asset,1001
1101,بنك الراجحي - جاري,Asset,
1102,بنك الأهلي - جاري,Asset,
1201,العملاء (ذمم مدينة),Asset,
1202,العملاء - حجوزات مقدّمـة,Liability,
1301,مقاعد محجوزة (مخزون افتراضي),Asset,
1401,أجهزة كمبيوتر,Asset,
1402,أثاث ومعدات,Asset,
2001,الموردون (ذمم دائنـة),Liability,
2002,مستحقات حكومية (رسوم,غرامات),Liability,
3001,رأس المال,Equity,
4001,إيرادات تذاكر طيران,Revenue,
4002,إيرادات حجوزات فنادق,Revenue,
4101,إيرادات خدمات تعقيب,Revenue,
5001,تكلفة تذاكر طيران,Expense,
6001,رواتب الموظفين,Expense,
6101,إيجار المكتب,Expense,
7001,ضريبة القيمة المضافة (مخرجة),Liability,
7002,ضريبة القيمة المضافة (مستردة),Asset
